id,severity,type,summary,source_file,symbol,evidence_status,relationship_status,duplicate_of,phase,pr,owner,acceptance_test,evidence,remediation_status,residual_risk,due_date
D9-D,BAJA,audit-tx,save_system_memory escribe systemMemory + audit FUERA de tx (fila table durable como registro alternativo),src/app/api/ai-assistant/route.ts; src/lib/services/ai-config.ts,saveSystemMemory,CONFIRMED,INDEPENDENT,,4/6/11,,,Gate 6: audit atomico; SystemMemory como registro durable aceptable,"c2552f9: ai-assistant/route.ts:742-815 db.systemMemory.update/create luego createAuditLogWithRetry, sin $transaction",OPEN,audit puede fallar tras memoria persistida; SystemMemory es el registro durable,
D9-E,BAJA,guardrails,"checkPromptInjection solo valida message, NO history (handleChat/handleCreateRule)",src/app/api/ai-assistant/route.ts; src/lib/guardrails.ts,checkPromptInjection,CONFIRMED,INDEPENDENT,,4/6/11,274b23a,,Gate 4: guardrails cubren history y mensajes,"c2552f9: ai-assistant/route.ts:1118 (handleChat) y :1268 (handleCreateRule) chequean solo message; history embebida en messages sin validar (1194-1201, 1345-1351); cierre: 274b23a; PR #17 / merge 1cf6685",CLOSED_WITH_EVIDENCE,inyeccion via history/turns previos alcanza el LLM,
D10-A,MEDIA,role-gate,POST /api/backup/restore usa solo requireCompanyContext SIN role gate (viewer puede reemplazar toda la data financiera),src/app/api/backup/restore/route.ts,restore,CONFIRMED,INDEPENDENT,,4/6/10,d63fc85,,Gate 5/10: restore exige rol autorizado,c2552f9: backup/restore/route.ts:13 solo requireCompanyContext(); sin requireCompanyRole/requireSuperAdmin en el archivo; actor check (90-97) solo gobierna preservacion de super_admin restaurado; d63fc85 solo normalizo roles,OPEN,restore ejecutable por cualquier miembro activo (incl viewer),
D10-B,MEDIA,filesystem-tx,restoreBackup escribe company-config.json DENTRO del $transaction (DB rollback pero archivo persiste -> estado parcial),src/lib/backup.ts,restoreBackup,NOT_REPRODUCIBLE,INDEPENDENT,,4/6/10,a09afc1,,Gate 10: protocolo staging/compensacion DB<->filesystem,c2552f9: backup.ts:1040-1057 write de archivo DIFERIDO hasta despues de que db.$transaction commitea; rollback ya no persiste archivo divergente; configWriteFailed manejado sin RESTORE_FAILED falso,CLOSED_WITH_EVIDENCE,divergencia DB<->filesystem acotada pero no eliminada (protocolo staging pendiente Fase 10),
D10-C,MEDIA,path-traversal,DELETE /api/backup sin role gate y filtra mal .. (prefix-collision de companyId_); borrado arbitrario dentro de dirs con prefijo,src/app/api/backup/route.ts; src/lib/backup.ts,deleteBackup,NOT_REPRODUCIBLE,INDEPENDENT,,4/6/10,56a573b,,Gate 10: path traversal con resolucion canonica y allowlist de raiz,"c2552f9: backup/route.ts:63 requireCompanyRole([company_admin]); backup.ts:499-542 format gate (rechaza / \ .., no-.json) + ownership exacta (filename+companyId) + path.resolve/path.relative containment",CLOSED_WITH_EVIDENCE,ninguno evidente; confirmar switch completo en [filename] GET (ver D10-D),
D10-D,BAJA,role-gate,GET /api/backup/[filename] descarga backup completo (PII+passwordHash) sin role gate (solo scoped por prefix),src/app/api/backup/[filename]/route.ts,,PARTIALLY_CONFIRMED,INDEPENDENT,,4/6/10,56a573b,,Gate 5/10: descargas con role gate y tenant scoping,"c2552f9: [filename]/route.ts:20-28 solo checks de traversal/prefix; sin role gate; descarga audita SECURITY_BACKUP_DOWNLOADED; passwordHash ya excluido del export (c07b4ca pre-range), pero email/phone/address si se exportan; 56a573b toco solo el path delete",IN_REMEDIATION,"viewer puede descargar PII financiera; ownership prefix-scoped, no manifest-anchored",
D10-E,MEDIA,data-loss,Backup no incluye reconciliationPeriods/EntityContext/SystemMemory; backup/restore pierde ReconciliationPeriod irreversiblemente,src/lib/backup.ts; prisma/schema.prisma,restoreBackup,PARTIALLY_CONFIRMED,INDEPENDENT,,4/6/10,a09afc1; d63fc85; 56a573b,,Gate 10: restore completo de ReconciliationPeriod; EntityContext/SystemMemory definidos por clase de dato,"c2552f9: backup.ts incluye reconciliationPeriods/companyKnowledge/knowledgeAudit end-to-end (290, 401-405, 732-735, 837-847); 0 hits entityContext/systemMemory -> ambas aun excluidas; claim de perdida irreversible de ReconciliationPeriod ya es falso (create+delete+restore+FK-remap soportado)",IN_REMEDIATION,EntityContext y SystemMemory se pierden en restore,
D11-A,MEDIA,atomicity,DELETE /api/admin/companies/[id]: cascada de 12 deleteMany SIN $transaction + CompanyKnowledge FK sin onDelete -> empresa parcialmente borrada (P2003) con perdida irreversible. Absorbe el historico D1-H2 (DELETE 500 con CompanyKnowledge FK Restrict + cascada no transaccional),src/app/api/admin/companies/[id]/route.ts; prisma/schema.prisma,,CONFIRMED,INDEPENDENT,,4-6/10-12,,,Gate 6: borrado de empresa atomico con FK definidas,"c2552f9: companies/[id]/route.ts:129-145 12 deleteMany luego company.delete sin $transaction; CompanyKnowledge no borrado y FK company sin onDelete (schema.prisma:515, default Restrict) -> P2003 mid-cascade; ReconciliationPeriod/SystemMemory SI se manejan; absorbe el historico D1-H2 (mismo code path)",OPEN,borrado parcial de empresa con perdida irreversible; P2003 en CompanyKnowledge FK,
D11-B,BAJA,audit-tx,"Audit fuera de tx en mutaciones admin (companies PUT, users POST/DELETE, revoke) con registro durable alternativo; excepciones buenas en companies POST y users PATCH",src/app/api/admin/users/route.ts; src/app/api/admin/companies/[id]/users/route.ts; src/app/api/admin/companies/route.ts,,CONFIRMED,INDEPENDENT,,4-6/10-12,,,Gate 6: mutaciones admin con audit atomico,"c2552f9: companies PUT ([id]/route.ts:93-107), users POST (users/route.ts:74-115), users DELETE (users/[id]/route.ts:142-152), revoke (companies/[id]/users/[userId]/route.ts:28-46) auditan fuera de tx; excepciones: companies POST usa $transaction (companies/route.ts:40-81), users PATCH usa $transaction (users/[id]/route.ts:85-121)",OPEN,registro de decision admin no atomico en 4 de 6 caminos,
D11-C,BAJA,filesystem-tx,saveLogo/deleteLogo (filesystem) fuera de tx en companies POST/PUT y users POST/PATCH -> archivo huerfano o logo borrado si update falla,src/lib/uploads/logo-service.ts,,CONFIRMED,INDEPENDENT,,4-6/10-12,,,Gate 12: filesystem y DB con compensacion,c2552f9: logo-service.ts:24-56 raw fs writes/unlinks; companies/[id]/route.ts:52-64 saveLogo->deleteLogo->update; users/route.ts:70-72 saveLogo antes de user.create,OPEN,huerfano de archivo nuevo o logo borrado si el update/create falla,
D11-D,BAJA,health-exposure,/api/health anonimo expone APP_VERSION/NODE_ENV/lastBackupAt/auditEventsLast24h/lockedFiscalPeriods/securityVersion y en 503 mensaje crudo,src/app/api/health/route.ts,GET,PARTIALLY_CONFIRMED,INDEPENDENT,,4-6/10-12,2ff523f,,Gate 11: health y logs no filtran informacion,"c2552f9: 2ff523f removio environment:process.env.NODE_ENV y error.message crudo del 503; HEAD aun devuelve version:process.env.APP_VERSION (route.ts:33), metrics{lastBackupAt,auditEventsLast24h,lockedFiscalPeriods}, config{securityVersion}; 503 = {status:degraded,timestamp}",IN_REMEDIATION,health anonimo aun filtra APP_VERSION + metricas operativas,
D11-E,BAJA,functional,DELETE /api/admin/users/[id] lanza P2003 (FK Restrict) para users con ReconciliationPeriod o RuleApplyRecord -> admin no puede eliminar usuarios legitimos,src/app/api/admin/users/[id]/route.ts; prisma/schema.prisma,DELETE,CONFIRMED,INDEPENDENT,,4-6/10-12,,,Gate 12: delete admin funcional con politica de dependencias,"c2552f9: users/[id]/route.ts:142 db.user.delete plano; schema.prisma:243 ReconciliationPeriod.user y :354 RuleApplyRecord.user sin onDelete (Restrict); CompanyMember (108) Cascade, AuditLog (389) SetNull",OPEN,defecto funcional del endpoint de admin,
P-01,GLOBAL,build,Build limpio desde clon y CI requerido como gate de main,package.json; .github/workflows/ci.yml,,CONFIRMED,INDEPENDENT,,2,261d244,,Gate 2: build verde en clon limpio y CI; main no acepta merge con workflow fallido,c2552f9: npm ci exit 0; npx tsc --noEmit exit 0; npm run lint exit 0; npm run build exit 0 (fotografia 4 ejecutada en esta sesion); ci.yml completo (prisma generate/validate + tsc + eslint + build + gitleaks),CLOSED_WITH_EVIDENCE,"branch protection (CI requerido en main) es configuracion de GitHub, no verificable desde el arbol",
P-02,GLOBAL,tenant,Inventario 100% de superficies SSR + matriz A/B tenant,src/lib/ssr-context.ts; src/app/company-knowledge/**; src/app/accounts/page.tsx,,CONFIRMED,INDEPENDENT,,3-4,871bc6a; 557c545; 9d2df58,,Gate 3/4: 4 fugas SSR cerradas con test de regresion; matriz A/B 100% y clasificacion de 111 superficies,c2552f9: 69d0499 creo src/lib/ssr-context.ts y reescribio 3 paginas company-knowledge; 7aaf03c cambio accounts/page.tsx + roles de API; inventario integral de 111 superficies y matriz A/B siguen pendientes; cierre: 871bc6a; 557c545; 9d2df58; PR #15 / merge e054566,CLOSED_WITH_EVIDENCE,cobertura parcial (4 fugas SSR atendidas; matriz 111 superficies no completada),
P-03,GLOBAL,secrets,Contencion de secretos + escaneo + formalizacion; HMAC epoca Fase 6,.env; .env.example; .gitignore; .gitleaks.toml; .github/workflows/ci.yml,,CONFIRMED,INDEPENDENT,,1/6,0771cca; 7812b01; c2552f9,,Gate 1: secretos expuestos revocados; escaneo sin hallazgos; .env fuera del indice; epocas HMAC en Fase 6,c2552f9: git ls-files | rg -i .env -> solo .env.example; .gitignore:34-35 (.env* / !.env.example); .gitleaks.toml presente; ci.yml paso gitleaks (44-48); 7812b01/c2552f9 hicieron gitleaks-safe los fixtures; rotacion + AuditEpoch operativos (requieren owner),IN_REMEDIATION,revocacion real y nueva epoca HMAC pendientes (requieren informacion del owner),
P-04,GLOBAL,roles,Modelo de roles: separar autoridad global (super_admin) de tenant (company_admin/employee/viewer) con migracion ensayada,src/lib/rbac.ts; src/lib/validations/admin.ts; prisma/schema.prisma,,CONFIRMED,INDEPENDENT,,5,34369fd; a4c814d; e37b96c; 861c00d; d63fc85; 798f79c; 90b12e4; 3a33f5b,,Gate 5: sin guard global que acepte company_admin; vocabulario unico; migracion ensayada con rollback/compensacion,P04-A: 8f48a55 / PR #23 / merge 798f79c - logical rename separate platform role field; P04-B: 85634d7 / PR #24 / merge 90b12e4 - typed PlatformRole/CompanyRole enums + migration 20260820104638_p04b_typed_role + tests p04b-migration-contract + p04b-role-enums; P04-C: 12c6163 / PR #25 / merge 3a33f5b - local super-admin bootstrap script; R1_SUCCESS: prisma migrate deploy sandbox PASS types/defaults/mappings PASS smoke 9/9 PASS rollback fisico compensatorio PASS; R2_FAIL_CLOSED: prisma migrate deploy FAIL root P04_UNKNOWN_ROLE_DATA finished_at=NULL physical unchanged,CLOSED_WITH_EVIDENCE,migracion P04-B pendiente de aplicacion en la DB canonica; deployment operativo separado del cierre de P-04,
P-05,GLOBAL,decimal,"Dinero exacto por flujo: cero number decisorio, Decimal strings en API y golden datasets",src/lib/db.ts; src/lib/reconciliation.ts; src/lib/accounting/**,,CONFIRMED,INDEPENDENT,,7,2b5cbea,,Gate 7: cero number decisorio; golden datasets conciliados,c2552f9: 2b5cbea removio la coercion blanket ($allModels.$allOperations); rg deepConvertDecimals -> 0 matches; db.ts:88-181 conserva result.compute(data) => Number(...) por campo monetario (capa de conversion residual),IN_REMEDIATION,conversion a number residual por campo en db.ts y flujos pendientes de Fase 7,
P-06,GLOBAL,deps,Audit de dependencias sin altas/criticas no exceptuadas (npm audit --omit=dev),package.json; package-lock.json,,CONFIRMED,INDEPENDENT,,8,556d71d; 536b3ca,,Gate 8: cero altas sin excepcion formal; npm ci repetible; SBOM/excepciones con owner,c2552f9: 536b3ca package.json:65 sharp ^0.35.3; 556d71d remedio advisories en range; fotografia 4 en esta sesion: npm audit --omit=dev -> found 0 vulnerabilities (exit 0); npm ci exit 0; SBOM/excepciones no creados,IN_REMEDIATION,SBOM y excepciones con owner/vencimiento pendientes,
P-07,GLOBAL,suite,Suite completa ejecutable limpia y reproducible (setup sin produccion),vitest.config.ts; tests/setup.ts; tests/**,,CONFIRMED,INDEPENDENT,,9,,,Gate 9: suite limpia reproducible; unit sin DB; DB efimera,"c2552f9: vitest.config.ts (setupFiles, globals, test-DB env); tests/setup.ts (guard test-DB 1-14, barrera de red 23-38, mock z-ai 48-101, seed bank profile 118-153); fotografia 4 en esta sesion: vitest run -> 34 failed / 2710 passed / 37 skipped (5 archivos fallidos: suggest-role integration+services, ai-assistant-date-filters, create-backup-protection, measure-real-rule-parity); 1 unhandled error (worker fork timeout)",IN_REMEDIATION,suite con 34 fallos en HEAD; division unit/integration/forensic y DB efimera pendientes,
P-08,GLOBAL,ci,"CI con checks requeridos (prisma, tsc, lint, build, secret scan, tests)",src/app/../.github/workflows/ci.yml,,CONFIRMED,INDEPENDENT,,2/8-9,261d244; 77ac3f1,,Gate 2/8-9: checks requeridos en CI; tests en CI; branch protection,c2552f9: ci.yml = prisma generate + validate (DATABASE_URL dummy por 77ac3f1) + tsc + eslint + build + gitleaks (no-git working-tree scan); SIN paso vitest; required-strict pendiente,IN_REMEDIATION,no hay job de tests en CI; branch protection requerido pendiente,
P-09,GLOBAL,hygiene,HTTP/logs/CSP y arbol limpio (no disfrazar errores como exito),src/lib/logger.ts; src/lib/route-error-handler.ts; src/app/api/health/route.ts,,CONFIRMED,INDEPENDENT,,11-12,2ff523f,,Gate 11-12: health/logs sin filtracion; CSP sin unsafe-eval; errores no disfrazados,c2552f9: logger.ts:17 redactValue; route-error-handler.ts safeErrorMessage loguea solo error.name para errores tecnicos; health sin NODE_ENV (ver D11-D); CSP unsafe-eval/unsafe-inline y exports 200-error pendientes (ver D4-F3),IN_REMEDIATION,CSP unsafe-eval/unsafe-inline y contratos 200-error de export pendientes,
P-10,GLOBAL,migrations,Migracion deploy/drift/compensacion ensayada desde ultima version soportada,prisma/schema.prisma; prisma/migrations/**,,CONFIRMED,INDEPENDENT,,9,,,Gate 9: migracion y compensacion ensayadas; ausencia de drift,c2552f9: prisma/migrations/ = 0_init + 20260804124148_add_rule_apply_record + migration_lock.toml; rg migrate|compensation|drift tests -> 0 archivos de migracion/drift/compensacion,OPEN,migracion no ensayada; ninguna prueba de drift/compensacion en la rama,
